ts,model,norm,dataset,crop_min,crop_max,noise,shift,mixup,cv_roc_auc_mean,cv_pr_auc_mean,test_roc_auc,test_pr_auc,test_recall_pos,test_f1_pos
20251202-110253,logreg,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.4,0.774,0.8112063492063492,,,,
20251202-110253,rf,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.4,0.762,0.8195714285714285,,,,
20251202-110253,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.4,0.8140000000000001,0.8411269841269841,0.675,0.8581730769230769,0.625,0.6666666666666666
20251202-110253,xgb,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.4,0.736,0.7805793650793651,,,,
20251202-110416,logreg,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.0,0.8240000000000001,0.8667222222222222,,,,
20251202-110416,rf,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.0,0.8039999999999999,0.8364444444444444,,,,
20251202-110416,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.0,0.826,0.8504285714285714,0.65,0.8373397435897436,0.625,0.7142857142857143
20251202-110416,xgb,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.0,0.756,0.8105476190476191,,,,
20251202-110459,logreg,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.2,0.858,0.8878333333333333,0.875,0.9067956349206348,1.0,0.9411764705882352
20251202-110459,rf,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.2,0.784,0.8325079365079364,,,,
20251202-110459,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.2,0.844,0.8554285714285713,,,,
20251202-110459,xgb,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.2,0.8099999999999999,0.8535238095238095,,,,
20251202-110545,logreg,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.4,0.8140000000000001,0.8311666666666667,,,,
20251202-110545,rf,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.4,0.8160000000000001,0.8673174603174603,,,,
20251202-110545,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.4,0.836,0.8603333333333334,,,,
20251202-110545,xgb,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.4,0.842,0.8782380952380953,0.675,0.8224587912087912,0.625,0.6666666666666666
20251202-110642,logreg,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.6,0.7939999999999999,0.8175555555555555,,,,
20251202-110642,rf,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.6,0.764,0.8343650793650793,,,,
20251202-110642,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.6,0.8380000000000001,0.8647777777777778,0.6,0.7957542457542458,0.5,0.5714285714285714
20251202-110642,xgb,snv,covid_saliva,900.0,1800.0,0.0,0.0,0.6,0.772,0.8226746031746032,,,,
20251202-110744,logreg,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.0,0.794,0.8214841269841269,,,,
20251202-110744,rf,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.0,0.782,0.8411269841269842,,,,
20251202-110744,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.0,0.8160000000000001,0.852,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-110744,xgb,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.0,0.738,0.7698650793650794,,,,
20251202-110817,logreg,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.2,0.8099999999999999,0.8290238095238095,0.875,0.9067956349206348,0.875,0.875
20251202-110817,rf,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.2,0.764,0.8292460317460317,,,,
20251202-110817,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.2,0.808,0.855015873015873,,,,
20251202-110817,xgb,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.2,0.7460000000000001,0.8062460317460317,,,,
20251202-110822,logreg,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.4,0.786,0.8154841269841269,,,,
20251202-110822,rf,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.4,0.8019999999999999,0.8624761904761904,,,,
20251202-110822,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.4,0.844,0.8625555555555555,0.675,0.8581730769230769,0.625,0.6666666666666666
20251202-110822,xgb,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.4,0.792,0.8518174603174604,,,,
20251202-110827,logreg,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.6,0.784,0.8107619047619048,,,,
20251202-110827,rf,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.6,0.8,0.8658095238095237,,,,
20251202-110827,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.6,0.844,0.8797777777777778,0.675,0.8581730769230769,0.625,0.6666666666666666
20251202-110827,xgb,snv,covid_saliva,900.0,1800.0,0.0,1.0,0.6,0.73,0.7886746031746031,,,,
20251202-110833,logreg,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.0,0.778,0.8021507936507936,,,,
20251202-110833,rf,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.0,0.756,0.8021507936507936,,,,
20251202-110833,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.0,0.806,0.8492222222222223,0.6749999999999999,0.8477564102564104,0.625,0.6666666666666666
20251202-110833,xgb,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.0,0.754,0.7870079365079364,,,,
20251202-110837,logreg,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.2,0.786,0.8049285714285714,,,,
20251202-110837,rf,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.2,0.774,0.8404761904761904,,,,
20251202-110837,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.2,0.818,0.8585873015873016,0.55,0.676923076923077,0.625,0.625
20251202-110837,xgb,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.2,0.768,0.8441587301587301,,,,
20251202-110846,logreg,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.4,0.76,0.796515873015873,,,,
20251202-110846,rf,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.4,0.764,0.8427777777777777,,,,
20251202-110846,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.4,0.8039999999999999,0.8414444444444446,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-110846,xgb,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.4,0.75,0.8142380952380952,,,,
20251202-110851,logreg,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.6,0.812,0.8278333333333332,,,,
20251202-110851,rf,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.6,0.758,0.8230396825396825,,,,
20251202-110851,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.6,0.828,0.8497936507936508,0.6749999999999999,0.8477564102564104,0.625,0.6666666666666666
20251202-110851,xgb,snv,covid_saliva,900.0,1800.0,0.0,2.0,0.6,0.728,0.7742222222222221,,,,
20251202-110855,logreg,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.0,0.786,0.8154841269841269,,,,
20251202-110855,rf,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.0,0.806,0.8587460317460318,,,,
20251202-110855,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.0,0.834,0.8578730158730158,0.6749999999999999,0.8439685314685315,0.625,0.6666666666666666
20251202-110855,xgb,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.0,0.79,0.8525714285714285,,,,
20251202-110859,logreg,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.2,0.788,0.8045,,,,
20251202-110859,rf,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.2,0.76,0.8160158730158731,,,,
20251202-110859,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.2,0.808,0.8356111111111112,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-110859,xgb,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.2,0.74,0.7953412698412698,,,,
20251202-110904,logreg,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.4,0.784,0.8187063492063492,,,,
20251202-110904,rf,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.4,0.766,0.8243333333333333,,,,
20251202-110904,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.4,0.8140000000000001,0.8448571428571429,0.725,0.8752185314685315,0.625,0.6666666666666666
20251202-110904,xgb,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.4,0.78,0.8364365079365079,,,,
20251202-110911,logreg,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.6,0.776,0.8127063492063492,,,,
20251202-110911,rf,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.6,0.8,0.8513492063492063,,,,
20251202-110911,svm_rbf,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.6,0.8119999999999999,0.8528571428571429,0.625,0.8290064102564103,0.625,0.6666666666666666
20251202-110911,xgb,snv,covid_saliva,900.0,1800.0,0.0,4.0,0.6,0.776,0.8327460317460318,,,,
20251202-110917,logreg,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.0,0.794,0.8214841269841269,,,,
20251202-110917,rf,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.0,0.782,0.8411269841269842,,,,
20251202-110917,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.0,0.826,0.8555714285714286,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-110917,xgb,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.0,0.748,0.7958968253968254,,,,
20251202-110921,logreg,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.2,0.8019999999999999,0.8464841269841269,,,,
20251202-110921,rf,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.2,0.782,0.8467777777777779,,,,
20251202-110921,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.2,0.806,0.8486666666666667,0.7,0.8648018648018647,0.625,0.6666666666666666
20251202-110921,xgb,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.2,0.772,0.8299603174603174,,,,
20251202-110925,logreg,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.4,0.8220000000000001,0.8314047619047619,0.875,0.9067956349206348,0.875,0.875
20251202-110925,rf,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.4,0.782,0.8484603174603175,,,,
20251202-110925,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.4,0.8160000000000001,0.8514444444444443,,,,
20251202-110925,xgb,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.4,0.784,0.8325793650793651,,,,
20251202-110930,logreg,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.6,0.8220000000000001,0.8325952380952379,,,,
20251202-110930,rf,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.6,0.8099999999999999,0.871984126984127,,,,
20251202-110930,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.6,0.808,0.8447619047619048,,,,
20251202-110930,xgb,snv,covid_saliva,900.0,1800.0,0.005,0.0,0.6,0.8400000000000001,0.8897619047619048,0.65,0.8356351981351982,0.625,0.625
20251202-110935,logreg,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.0,0.796,0.8117222222222221,,,,
20251202-110935,rf,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.0,0.774,0.8261984126984127,,,,
20251202-110935,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.0,0.844,0.8625555555555555,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-110935,xgb,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.0,0.756,0.8092301587301588,,,,
20251202-110939,logreg,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.2,0.804,0.8218333333333334,,,,
20251202-110939,rf,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.2,0.764,0.8310000000000001,,,,
20251202-110939,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.2,0.8140000000000001,0.8442222222222222,0.675,0.8581730769230769,0.625,0.625
20251202-110939,xgb,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.2,0.728,0.7778015873015873,,,,
20251202-110949,logreg,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.4,0.796,0.8190555555555555,,,,
20251202-110949,rf,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.4,0.75,0.8215238095238095,,,,
20251202-110949,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.4,0.836,0.8577936507936508,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-110949,xgb,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.4,0.758,0.8251904761904761,,,,
20251202-110954,logreg,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.6,0.794,0.8182619047619047,,,,
20251202-110954,rf,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.6,0.782,0.8347380952380952,,,,
20251202-110954,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.6,0.836,0.8681111111111111,0.675,0.8581730769230769,0.625,0.6666666666666666
20251202-110954,xgb,snv,covid_saliva,900.0,1800.0,0.005,1.0,0.6,0.762,0.8033730158730158,,,,
20251202-110959,logreg,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.0,0.784,0.8187063492063492,,,,
20251202-110959,rf,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.0,0.8,0.8552539682539682,,,,
20251202-110959,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.0,0.834,0.8577936507936508,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-110959,xgb,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.0,0.766,0.8386031746031746,,,,
20251202-111004,logreg,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.2,0.788,0.8057222222222222,,,,
20251202-111004,rf,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.2,0.8,0.8525714285714285,,,,
20251202-111004,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.2,0.844,0.8625555555555555,0.65,0.8373397435897436,0.625,0.6666666666666666
20251202-111004,xgb,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.2,0.78,0.8031031746031745,,,,
20251202-111010,logreg,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.4,0.776,0.8127063492063492,,,,
20251202-111010,rf,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.4,0.7619999999999999,0.8275714285714285,,,,
20251202-111010,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.4,0.792,0.8414444444444446,0.65,0.8189685314685314,0.625,0.6666666666666666
20251202-111010,xgb,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.4,0.746,0.8208968253968253,,,,
20251202-111018,logreg,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.6,0.782,0.8127460317460319,,,,
20251202-111018,rf,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.6,0.786,0.8586666666666666,,,,
20251202-111018,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.6,0.798,0.8341269841269842,0.6000000000000001,0.8040064102564103,0.625,0.6666666666666666
20251202-111018,xgb,snv,covid_saliva,900.0,1800.0,0.005,2.0,0.6,0.76,0.8157142857142856,,,,
20251202-111024,logreg,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.0,0.768,0.7993730158730158,,,,
20251202-111024,rf,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.0,0.774,0.8298888888888889,,,,
20251202-111024,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.0,0.8140000000000001,0.8514444444444444,0.6499999999999999,0.8227564102564103,0.625,0.6666666666666666
20251202-111024,xgb,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.0,0.748,0.8208253968253969,,,,
20251202-111028,logreg,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.2,0.784,0.817468253968254,,,,
20251202-111028,rf,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.2,0.758,0.8302380952380952,,,,
20251202-111028,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.2,0.818,0.8533492063492064,0.6749999999999999,0.8439685314685315,0.625,0.6666666666666666
20251202-111028,xgb,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.2,0.79,0.8557936507936507,,,,
20251202-111034,logreg,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.4,0.776,0.8021507936507936,,,,
20251202-111034,rf,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.4,0.79,0.8511269841269842,,,,
20251202-111034,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.4,0.826,0.8608095238095238,0.7,0.8685897435897436,0.75,0.75
20251202-111034,xgb,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.4,0.796,0.8566825396825397,,,,
20251202-111039,logreg,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.6,0.76,0.7953730158730159,,,,
20251202-111039,rf,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.6,0.724,0.7850793650793652,,,,
20251202-111039,svm_rbf,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.6,0.8119999999999999,0.8583492063492063,0.675,0.8581730769230769,0.625,0.625
20251202-111039,xgb,snv,covid_saliva,900.0,1800.0,0.005,4.0,0.6,0.76,0.8169920634920634,,,,
20251202-111044,logreg,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.0,0.794,0.8214841269841269,,,,
20251202-111044,rf,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.0,0.79,0.851126984126984,,,,
20251202-111044,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.0,0.8160000000000001,0.852,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-111044,xgb,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.0,0.792,0.8439523809523809,,,,
20251202-111052,logreg,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.2,0.796,0.8190555555555555,,,,
20251202-111052,rf,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.2,0.774,0.8422380952380951,,,,
20251202-111052,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.2,0.8280000000000001,0.8555714285714286,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-111052,xgb,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.2,0.76,0.7932460317460317,,,,
20251202-111056,logreg,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.4,0.76,0.7953730158730159,,,,
20251202-111056,rf,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.4,0.764,0.8354761904761905,,,,
20251202-111056,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.4,0.8160000000000001,0.8597777777777778,0.7,0.8648018648018647,0.625,0.6666666666666666
20251202-111056,xgb,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.4,0.752,0.7830079365079364,,,,
20251202-111101,logreg,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.6,0.786,0.8211666666666666,,,,
20251202-111101,rf,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.6,0.774,0.8435714285714285,,,,
20251202-111101,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.6,0.8440000000000001,0.8631904761904762,0.7,0.8648018648018647,0.625,0.6666666666666666
20251202-111101,xgb,snv,covid_saliva,900.0,1800.0,0.01,0.0,0.6,0.7040000000000001,0.7633571428571428,,,,
20251202-111105,logreg,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.0,0.784,0.8187063492063492,,,,
20251202-111105,rf,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.0,0.756,0.8204047619047617,,,,
20251202-111105,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.0,0.836,0.8603333333333334,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-111105,xgb,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.0,0.758,0.818047619047619,,,,
20251202-111110,logreg,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.2,0.774,0.8112063492063492,,,,
20251202-111110,rf,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.2,0.758,0.8164603174603174,,,,
20251202-111110,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.2,0.826,0.853031746031746,0.7,0.8648018648018647,0.625,0.625
20251202-111110,xgb,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.2,0.768,0.8353809523809523,,,,
20251202-111115,logreg,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.4,0.792,0.8274682539682539,,,,
20251202-111115,rf,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.4,0.78,0.8444761904761904,,,,
20251202-111115,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.4,0.818,0.8455714285714286,,,,
20251202-111115,xgb,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.4,0.818,0.8667460317460318,0.65,0.8189685314685314,0.625,0.7142857142857143
20251202-111122,logreg,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.6,0.76,0.796515873015873,,,,
20251202-111122,rf,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.6,0.776,0.8364761904761904,,,,
20251202-111122,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.6,0.82,0.8580158730158729,0.675,0.8581730769230769,0.625,0.625
20251202-111122,xgb,snv,covid_saliva,900.0,1800.0,0.01,1.0,0.6,0.8,0.8520238095238095,,,,
20251202-111127,logreg,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.0,0.768,0.7993730158730158,,,,
20251202-111127,rf,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.0,0.772,0.827484126984127,,,,
20251202-111127,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.0,0.834,0.8577936507936508,0.7,0.8685897435897436,0.625,0.6666666666666666
20251202-111127,xgb,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.0,0.744,0.7882460317460318,,,,
20251202-111131,logreg,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.2,0.796,0.8084999999999999,,,,
20251202-111131,rf,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.2,0.728,0.7943571428571429,,,,
20251202-111131,svm_rbf,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.2,0.808,0.8394603174603175,0.675,0.8581730769230769,0.625,0.625
20251202-111131,xgb,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.2,0.734,0.8030793650793651,,,,
20251202-111137,logreg,snv,covid_saliva,900.0,1800.0,0.01,2.0,0.4,0.768,0.7993730158730158,,,,
